Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
fox,NL,575,199,46.23.92.183,46-23-92-183.openbsd.amsterdam,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on OpenBSD,0,0,2019-09-22,XS4ALL-NL Amsterdam- NL,3265,1900,[2a03:6000:9213::183]:443
FoxDen,FR,0,523,90.119.122.180,lfbn-lyo-1-540-180.w90-119.abo.wanadoo.fr,9001,None,0,0,0,0,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-09-07,France Telecom - Orange- FR,3215,14,None
fpuzhpx,US,0,411,23.92.19.230,plover.com,9001,9030,0,0,0,0,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-01-06,LINODE-AP Linode- LLC- US,63949,15,None
fr00t,CA,766,52,156.57.130.62,hlfxns016cw-156-57-130-62.dhcp-dynamic.fibreop.ns.bellaliant.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-09-23,CANET-ASN-4 - Bell Canada- CA,855,5900,None
fr0akatala,FR,5916,649,176.31.163.89,fr.katalevich.cz,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2017-05-31,OVH- FR,16276,17000,[2001:41d0:302:2100::868c]:9001
FR1sevpsNET,FR,689,527,193.70.73.242,ip242.ip-193-70-73.eu,50101,50102,0,0,1,1,0,1,1,1,1,Tor 0.2.9.14 on Linux,0,0,2017-07-07,OVH- FR,16276,2550,None
fr1xtracodews,FR,4592,436,212.47.236.86,fr1.freedom.xtracode.ws,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2018-10-06,AS12876- FR,12876,12400,None
Fr3313vr3c4ll,BR,0,294,201.38.246.66,201.38.246.66,9001,9030,0,0,0,0,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-09-27,CLARO S.A.- BR,4230,13,None
fr3anonAF,FR,9428,2286,95.130.9.90,fr3.tor-exit.anon.af,8443,None,0,1,1,1,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2018-08-03,DIGICUBE01- FR,196689,22300,None
fractaldragonold,US,65,2284,71.19.157.213,mail.smallerspaces.ca,9001,None,0,0,1,0,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2014-06-08,PRGMR - prgmr.com- Inc.- US,47066,326,None
Fractalia,US,91,463,45.77.196.39,45.77.196.39.vultr.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2014-04-19,AS-CHOOPA - Choopa- LLC- US,20473,273,None
framboise,US,2184,1031,216.6.27.12,216.6.27.12,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2019-07-28,NEXTMAP- FR,35426,11300,[2a09:8740:3:42::12]:9001
fran1,US,1092,39,198.199.100.10,fran1.tor.fountainbay.org,443,80,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-07-17,DIGITALOCEAN-ASN - DigitalOcean- LLC- US,14061,3630,[2604:a880:1:20::2f0:a001]:443
FRANCKENSTEIN,RO,3006,320,185.225.17.151,185-225-17-151.mivocloud.com,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2018-03-09,MIVOCLOUD- MD,39798,5140,None
franksToeKnife,DE,119,3729,207.154.217.3,207.154.217.3,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.3.5.8 on Linux,0,0,2017-05-18,DIGITALOCEAN-ASN - DigitalOcean- LLC- US,14061,383,None
frantz,NL,3282,334,37.220.36.240,37.220.36.240,443,80,0,1,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2018-07-24,YISP-AS- NL,58073,7000,None
frcy,DE,1879,3,85.10.243.199,tor.frcy.org,9001,None,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2018-11-01,HETZNER-AS- DE,24940,7010,None
Free,CZ,7479,1976,5.1.56.52,trader.lithium.cz,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-03-27,CZ-SUAS- CZ,198161,22500,[2a00:e140::34]:9001
free2play,US,603,750,66.228.58.95,li315-95.members.linode.com,9001,None,0,0,1,0,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-04-28,LINODE-AP Linode- LLC- US,63949,1410,None
FreeAssange,FR,18316,9,82.251.167.192,lns-bzn-40-82-251-167-192.adsl.proxad.net,443,53,0,0,1,1,0,1,1,1,1,Tor 0.4.2.2-alpha on Linux,0,0,2017-09-04,PROXAD- FR,12322,31800,[2a01:e35:2fba:7c00::33]:443
FreeBeeVee,DE,0,30,89.247.97.8,i59F76108.versanet.de,9601,9631,0,0,1,0,0,0,1,1,1,Tor 0.4.1.6 on FreeBSD,0,0,2018-08-28,VERSATEL- DE,8881,1930,None
freebi,JP,45,1095,139.162.112.111,li1596-111.members.linode.com,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2014-06-21,LINODE-AP Linode- LLC- US,63949,260,None
Freebird31,DE,8025,480,91.143.88.62,91-143-88-62.que3.de,443,80,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on FreeBSD,0,0,2015-10-10,ISPPRO-AS ISPPRO-AS covers the networks of ISPpro- DE,35366,30000,None
Freebird32,DE,6383,480,81.7.18.7,81-7-18-7.que3.de,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on FreeBSD,0,0,2015-10-18,ISPPRO-AS ISPPRO-AS covers the networks of ISPpro- DE,35366,26000,None
